t,mean_speed,coherence,n_clusters,mean_cluster_size,n_edges,mean_novelty,mean_boreness,mean_load,n_joined,n_detached,n_merges,mean_omega0,std_omega0
93,0.572611682964483,0.3637694203714646,24,2.0833333333333335,31,0.3651048543453838,0.018179801147751366,1.9509115880626917,1,0,0,0.1512899647089634,0.009111315162920573
94,0.5808241426527821,0.36367366426092046,24,2.0833333333333335,31,0.3217544779116469,0.018222252400489865,1.922439193338584,0,0,0,0.1512899647089634,0.009111315162920573
95,0.5861471888670093,0.36357462001209156,24,2.0833333333333335,31,0.28335892909223614,0.018403187545931215,1.9455552373990386,0,0,0,0.1512899647089634,0.009111315162920573
96,0.594456442999327,0.3687351154571031,23,2.1739130434782608,32,0.25665193061116265,0.018244100489454157,1.9366460683244702,1,0,1,0.1512899647089634,0.009111315162920573
97,0.5978393723818987,0.36863460606677506,23,2.1739130434782608,31,0.2269244182346425,0.018256159322161195,1.8816458334091155,0,1,0,0.1512899647089634,0.009111315162920573
98,0.603776927048271,0.36130920646301085,22,2.272727272727273,32,0.2064983240575566,0.018071413405683762,1.8612673812857816,1,0,1,0.1512899647089634,0.009111315162920573
99,0.6026598653838623,0.3611950808241022,22,2.272727272727273,32,0.18302253885550626,0.017944050196402783,1.8128398134517392,0,0,0,0.1512899647089634,0.009111315162920573
100,0.5967452536195822,0.36107762074465244,22,2.272727272727273,32,0.16232065282569233,0.017900389950932925,1.7986621092992419,0,0,0,0.1512899647089634,0.009111315162920573
101,0.5957498826844122,0.3609568282156335,22,2.272727272727273,32,0.1432510056937824,0.01803249135148961,1.8339028916191396,0,0,0,0.1512899647089634,0.009111315162920573
102,0.5956159817362056,0.3693711640393763,22,2.272727272727273,32,0.1576085910424233,0.017201882103730668,1.8465293707776067,1,1,1,0.1512899647089634,0.009111315162920573
103,0.5997516788905797,0.3981558342443343,20,2.5,34,0.2308078226650302,0.016015795461209313,1.8907078557131327,2,0,2,0.1512899647089634,0.009111315162920573
104,0.6077635307450482,0.39804967478387154,20,2.5,34,0.2041602550500263,0.015014105832288903,1.8876635246156015,0,0,0,0.1512899647089634,0.009111315162920573
105,0.6142084334172719,0.39793987671030806,20,2.5,34,0.1802230669159146,0.014239908368599547,1.8882593688387381,0,0,0,0.1512899647089634,0.009111315162920573
106,0.6163505382918018,0.39782644248430316,20,2.5,33,0.16078260904204925,0.013645610923384845,1.8070637119421218,0,1,0,0.1512899647089634,0.009111315162920573
107,0.6222686039229327,0.3977093746619454,20,2.5,33,0.14185277032920482,0.013300822108724472,1.7935572720851922,0,0,0,0.1512899647089634,0.009111315162920573
108,0.6283003929594579,0.39758867589469216,20,2.5,33,0.1262904476182731,0.012985849431894823,1.7358584759867157,0,0,0,0.1512899647089634,0.009111315162920573
109,0.6262536504525585,0.4133954740321952,19,2.6315789473684212,34,0.1411010527094458,0.012591865276605966,1.7837237871874811,1,0,1,0.1512899647089634,0.009111315162920573
110,0.6231722687589673,0.41330214144750343,19,2.6315789473684212,33,0.127003010932852,0.012461041145229352,1.7699991732310716,0,1,0,0.1512899647089634,0.009111315162920573
111,0.6251227108694741,0.4132050227197737,19,2.6315789473684212,33,0.11252384629293058,0.012496339478887328,1.759362332779279,0,0,0,0.1512899647089634,0.009111315162920573
112,0.6255974859749046,0.4131041203770707,20,2.5,32,0.172166298703302,0.01269961885429025,1.8061857979746216,0,1,0,0.1512899647089634,0.009111315162920573
113,0.627273892050484,0.41299943704401315,20,2.5,32,0.151498137742336,0.013045055462343464,1.808063396709882,0,0,0,0.1512899647089634,0.009111315162920573
114,0.6338609955751968,0.41289097544170167,20,2.5,32,0.13479344190059236,0.013414132485311783,1.7819994506887158,0,0,0,0.1512899647089634,0.009111315162920573
115,0.6363495678162919,0.39901753302910464,19,2.6315789473684212,33,0.20216243582580465,0.013494776066676303,1.9146400006567532,2,1,2,0.1512899647089634,0.009111315162920573
116,0.6381672840709751,0.3711569910309306,18,2.7777777777777777,33,0.28301469224069004,0.013209728620779673,1.9973157197153668,1,1,1,0.1512899647089634,0.009111315162920573
117,0.638675797541965,0.3711629369499929,18,2.7777777777777777,33,0.24902253251645645,0.013158335665421026,1.9907936977880882,0,0,0,0.1512899647089634,0.009111315162920573
118,0.6352130002253968,0.37116592128580655,18,2.7777777777777777,33,0.21992320036801502,0.013089828834375206,2.0024890539294704,0,0,0,0.1512899647089634,0.009111315162920573
119,0.6378439306072365,0.37116593994088193,18,2.7777777777777777,33,0.19354882733210396,0.013162488699028387,2.000530646680758,0,0,0,0.1512899647089634,0.009111315162920573
120,0.639072240104907,0.3711629888856341,18,2.7777777777777777,33,0.17099457846967372,0.013218285826947618,2.033397759792926,0,0,0,0.1512899647089634,0.009111315162920573
121,0.6413772314699551,0.3711570641587117,18,2.7777777777777777,33,0.1510646469192055,0.013315594335222837,2.0042395476848647,0,0,0,0.1512899647089634,0.009111315162920573
122,0.6416368727642237,0.4070683080056328,17,2.9411764705882355,34,0.2242706039403772,0.013261514373245156,2.0717629320142326,1,0,1,0.1512899647089634,0.009111315162920573
123,0.6421191448950542,0.4100704768867098,17,2.9411764705882355,35,0.39150711103962066,0.013098334816095117,2.2163046938612765,2,1,1,0.1512899647089634,0.009111315162920573
124,0.643160525029005,0.4100597441742188,18,2.7777777777777777,34,0.3616392164872436,0.013014981465905231,2.192033850320475,0,1,0,0.1512899647089634,0.009111315162920573
125,0.6457101713241582,0.4100458204218887,18,2.7777777777777777,35,0.32082679166861006,0.01304091034364636,2.2212838153222627,1,0,0,0.1512899647089634,0.009111315162920573
126,0.6588949741530867,0.42919446523964055,17,2.9411764705882355,36,0.42516651409262535,0.012925277145519505,2.2589407136963975,1,0,1,0.1512899647089634,0.009111315162920573
